,year_month,diff_sp_mat,diff_sp_utilities,diff_sp_real_estate
0,2018-06,1.1779857285422723,1.3069529592012734,1.05705102983969
1,2018-07,1.0721002636037202,1.244637922821498,1.1089082003738544
2,2018-08,1.1093477214629435,1.0402026903912833,0.8967807596770772
3,2018-09,1.0100057246559184,1.1779917274127714,1.0240712082602677
4,2018-10,1.9167768964466263,1.6779896127524274,1.7065524226661315
5,2018-11,1.7198554472260823,1.336394926842798,1.198653962352834
6,2018-12,2.7963323200289105,2.1807197734397454,2.3154892932994717
7,2019-01,1.706023826213144,1.4871449511682502,1.3392707012192024
8,2019-02,1.108081820550791,1.0538925357186746,1.1495603713948597
9,2019-03,1.2427522997040108,1.0069375014017414,1.0285964542977566
10,2019-04,1.2229664487103047,1.038915084244832,1.2742877363222511
11,2019-05,1.2999704692344691,1.1889110210049487,1.1903929509156594
12,2019-06,1.0856386697824194,1.3445651407650296,1.1281434064623397
13,2019-07,1.0226095197987428,1.137969550169453,1.1767233273938855
14,2019-08,1.5773509185236738,1.3510242393934524,1.407283708661514
15,2019-09,1.0832583912378124,0.9571285198389843,1.0947549705958575
16,2019-10,1.284677662490697,0.9514054484913942,0.9686583445145485
17,2019-11,0.7577095214665981,0.9276678417670181,1.0448264415005961
18,2019-12,0.8028237087614982,0.804683995208148,1.0521704507250835
19,2020-01,1.0559257139257832,0.917521165735107,1.0314877386437438
20,2020-02,1.6051728015847333,1.353304392168185,1.5284003043247278
21,2020-03,5.519904545269328,6.873539406286966,6.535980432397941
22,2020-04,2.733061374383918,3.3927218715878293,3.0930017980295177
23,2020-05,1.9367457345303414,2.0801220423935964,2.107480256430957
24,2020-06,2.2187511299531906,2.4682918581105113,2.333974887139546
25,2020-07,1.6023056802986242,1.912384606855681,1.7559363279868236
26,2020-08,1.2203816237713345,1.4303023541950566,1.480846568642104
27,2020-09,2.073369866700425,1.856267265655791,2.0232321879473316
28,2020-10,1.7047249870266157,1.6692441018337094,1.645918338889261
29,2020-11,1.8224452259904638,1.7196766182638465,1.9228812086265434
30,2020-12,1.3492602836160212,1.4077262679555373,1.3714809320029024
31,2021-01,1.9415839468044183,1.8445341661717876,1.6873395506362947
32,2021-02,1.4550445165933996,1.4578764627808467,1.3357100153466248
33,2021-03,1.747171014602081,1.6098703404555075,1.6564116390096053
34,2021-04,1.15359887066908,1.1067455308504668,1.0040584337885479
35,2021-05,1.4132298491408384,1.3180244334506832,1.171142314679572
36,2021-06,1.249066510256947,1.2337280090557825,1.0392888706128505
37,2021-07,1.3530608079339344,1.4142147779622651,1.1468269449092776
38,2021-08,1.165158343804254,1.0755952468485706,0.9739056703442279
39,2021-09,1.2801357898599657,1.414837536627352,1.411496186091965
40,2021-10,1.376967326763019,1.2093932290538523,1.2881173793879572
41,2021-11,1.023375017295346,1.215532169748994,1.288860548433094
42,2021-12,1.3805564157348127,1.3573878290305659,1.437345043385
43,2022-01,2.0641347727260966,1.7580420068950111,2.22189859913687
44,2022-02,1.8818664349083363,1.6592479835687732,1.8200781029896547
45,2022-03,1.879417629505962,1.5210285511763066,1.5990319515347164
46,2022-04,1.847062412494822,1.472170494007595,1.780646915629518
47,2022-05,2.429009380495774,1.9495452710067132,2.292814973940876
48,2022-06,2.1020974456722503,2.072794250320771,2.2328922022433506
49,2022-07,1.7860599493661162,1.6606906205048948,1.637146705342665
50,2022-08,1.5223495904458288,1.2883339276821366,1.3514385568827396
51,2022-09,2.137442106401708,2.0863695226220065,2.0322168729854533
52,2022-10,2.322311130647287,2.3335568683350147,2.527355071789339
53,2022-11,1.8352248263481619,1.7694012154897003,1.9738012808869025
54,2022-12,1.5781466719787391,1.5376497457649005,1.7984380442566699
55,2023-01,1.6404104342219141,1.5084226407584016,1.887215999736823
56,2023-02,1.6760635500675607,1.744069309165901,1.6610278317912113
57,2023-03,1.7890368541473067,1.997768970001619,2.1219126406274595
58,2023-04,1.1481212756075465,1.2558050314030085,1.5522538375011337
59,2023-05,1.2681715448114215,1.3907296944772365,1.5685250932522796
