year_month,index,diff_energy,diff_Industrials,diff_CommS,diff_CStaples
2018-06,0,1.7154450802647387,1.0344742808450615,1.718983060628992,0.9164662472032677
2018-07,1,1.4744466907101408,1.1696068871514338,1.4030648458752304,0.9038647741859307
2018-08,2,1.2878708183964171,0.8499124456391042,1.0736673368471814,0.8105030881986083
2018-09,3,1.2561751598255981,0.802598301803459,1.3557677901781302,0.8678541176785226
2018-10,4,2.211362616274272,1.9530391732416792,2.5265568645309107,1.4326466974155927
2018-11,5,2.419408949332565,1.615110206274967,1.845542038136796,1.1482142385323162
2018-12,6,3.45330991086426,2.833590766568491,2.8659194498670133,2.1157446505574424
2019-01,7,2.070702209844553,1.7072882857946834,1.848992983544055,1.2063955200412533
2019-02,8,1.567145312865919,0.9040836096513724,1.1247995707453258,0.7631519469447288
2019-03,9,1.5820900897181185,1.2341951607272892,1.1857188678842858,0.8805100527625862
2019-04,10,1.3240978340662437,0.8609302950865269,0.8252737684999906,0.6715746065521007
2019-05,11,1.7126719911580899,1.2566215517847639,1.5196715899089184,1.0117066171171805
2019-06,12,1.4466847330028014,1.0099323818253498,1.3006605885344322,0.8307865724759964
2019-07,13,1.3003723581658404,1.0323376682048409,1.2985118835928713,0.8681626648388613
2019-08,14,2.0621939804576788,1.5925540116590655,1.6331918218898773,1.4459356993838843
2019-09,15,1.7374193184221915,1.0046232940598758,1.1940253096784916,0.8098186773521252
2019-10,16,1.8127850833729275,1.1712085435148836,1.2274682669364632,0.8699132059380454
2019-11,17,1.560872321489183,0.7036586198240505,0.7551871096348568,0.7315759309782643
2019-12,18,1.2098517183036857,0.7150833988161746,0.8253441605183687,0.6068620091435152
2020-01,19,1.6242262142484876,1.0395447941024147,1.1576783021762858,0.7961683864919442
2020-02,20,2.678234432198576,1.525271263524826,1.842092052801211,1.272439433849039
2020-03,21,10.371422355639824,6.01857882511128,6.272078619114746,4.988604008284403
2020-04,22,6.618101783112135,2.5420326800980955,2.9343346780489608,2.161543188126495
2020-05,23,4.299173973394909,2.10670527261087,2.0474633634503907,1.3792465575845805
2020-06,24,4.5704629357754785,2.4316074526741605,2.1626279201414005,1.5804586702742276
2020-07,25,3.312049654486361,1.5511326302999626,1.844251486973877,1.2300662843330523
2020-08,26,2.289148823682024,1.2655764852393665,1.4876256592951258,0.9395202995594827
2020-09,27,3.21378873934826,2.027345612889204,2.487951320261786,1.5952861329580812
2020-10,28,3.2737992661709865,1.6681735985312591,2.101329533419613,1.2190147773114692
2020-11,29,4.737240274619357,1.7510978247459037,1.7587385348710651,1.2900018795285118
2020-12,30,3.169130130226537,1.1505379382606797,1.3805254569350511,0.8738934405468832
2021-01,31,3.409437750560937,1.522153506919155,2.1129221032224463,1.2304538315796072
2021-02,32,3.365796665961889,1.3015845539883624,1.7359178946730225,1.00371932411985
2021-03,33,2.959277006143875,1.7210281420262277,1.8242223425646797,1.223311844697082
2021-04,34,2.3947209427312757,0.972321717807519,1.334579579831283,0.8591357175476204
2021-05,35,2.604968129947634,1.2505953810504697,1.4678167555008048,0.9700813175992664
2021-06,36,2.4195374944610166,1.0624618363844323,1.0171822634711463,0.8160053216595675
2021-07,37,2.7436122193220247,1.120294368590358,1.276405923864737,0.8469507349417704
2021-08,38,2.4399124502067884,1.0070458885396392,1.0006445445232124,0.7611128650075581
2021-09,39,2.717344094544051,1.2062335222697593,1.363985859317177,1.0147944787192875
2021-10,40,2.134276491392221,1.1453190898129109,1.5268113957382405,0.9352427718992228
2021-11,41,2.515798070860778,0.9183466777252453,1.331560132041735,0.904194030948912
2021-12,42,2.578062367415907,1.3326737938560358,1.5784821785045964,1.1259860005824882
2022-01,43,3.009120967901724,1.9676755026453083,2.4654954825363466,1.3549310588770687
2022-02,44,3.1130580200572284,1.8942994634575405,3.192832698453998,1.5157447869009724
2022-03,45,3.258651789425972,1.5496413864977625,2.233387675465246,1.403738978930749
2022-04,46,3.133912286474786,1.7098077980323747,2.7479575799812066,1.465723166680072
2022-05,47,3.7330455231268953,2.2525935433227056,3.105586619059869,2.0169294622774254
2022-06,48,4.143192043673416,1.9422293027243238,2.8689758995306542,1.7708879670314535
2022-07,49,3.752863334273252,1.6520849596840992,2.8287561838514144,1.2677439888599609
2022-08,50,2.994743158075807,1.2718584345428978,2.0477200910620725,1.0480078615031625
2022-09,51,3.2597226461484197,1.8912932411702734,2.5669169790796365,1.6867722624330732
2022-10,52,3.2203203083005745,2.0585269375576396,2.9770635519302138,1.6499866444758924
2022-11,53,2.7029494953213034,1.5145162813582156,2.590414382869696,1.2779995332142156
2022-12,54,2.6793066755882755,1.4556825225759549,2.298560361986511,1.1127720700082655
2023-01,55,2.4832919291129647,1.4581434148337737,2.010433847668479,1.250564712494212
2023-02,56,2.422923701636451,1.3037233675758277,2.547447330319089,1.0774594252214698
2023-03,57,2.930944053651612,1.574290746012354,2.1283331716108593,1.116351104259849
2023-04,58,2.0060339881760187,1.1758894854359687,1.8018065022563439,0.7669238060699746
2023-05,59,2.2301881709412728,1.2612316173404663,1.639702572200791,0.8887064719121579
