,year_month,diff_financials,diff_IT,diff_Healthcare,diff_CD
0,2018-06,1.3220603595337228,1.8000076542760755,0.9937529110823835,1.2412660041716714
1,2018-07,1.1330039005319232,1.4635363207413232,0.7729361174968972,0.968629743285575
2,2018-08,0.8085568091067508,1.6152010771807543,0.6176198754618383,0.7883652493386349
3,2018-09,0.9254490596522947,1.8352144965983168,0.7127475036493877,0.9040023579632548
4,2018-10,1.9580052894277828,2.5779627046754383,1.8082051150167586,2.2911252619709557
5,2018-11,1.6118230364593504,2.5460636444668046,1.4794649400319575,1.9034368219722377
6,2018-12,2.800001070430088,3.1184248895214903,2.513070841945873,3.017682882872942
7,2019-01,1.495407531066964,1.7647436465715167,1.3761516050738205,1.6134585033378954
8,2019-02,0.9697205207106468,2.2621688584390176,0.8477395316596464,0.9000145241278575
9,2019-03,1.3168977593727191,1.6561429471380922,1.1604636326489555,1.0959299049382445
10,2019-04,1.0198493288858732,1.4211178190930789,1.3088384904587325,0.660604501981532
11,2019-05,1.2701425115555933,1.7510291743624344,1.3147645612664738,1.2490265493729864
12,2019-06,1.0871414945196243,1.4841548875323451,0.9215142736653092,0.9927213522251852
13,2019-07,0.9061634029517869,1.8247605380113507,0.9133863452811074,0.8524702419503924
14,2019-08,1.6241257858081561,2.3256639978982285,1.4635595168806192,1.485273125452398
15,2019-09,1.1093249467328261,1.6589090144685783,1.026862612665011,1.0320954554940214
16,2019-10,1.1182384852203886,1.6915020566288648,1.1238002951328114,0.9346423770986761
17,2019-11,0.6379057276017225,1.3768031013464532,0.8292757670273504,0.6834402754518097
18,2019-12,0.7340514037144609,1.3669353699211209,0.6933152175274978,0.6353736722963197
19,2020-01,0.969051357444861,1.6818118167758531,0.9198834807225518,0.9452763892579361
20,2020-02,1.4320863636206203,2.52429268867603,1.4859558436806264,1.5524756708225034
21,2020-03,6.512373955842133,9.284096706531887,4.942131889674126,5.2583520581491525
22,2020-04,3.2264443077662,4.082901513571768,2.2569867842536873,2.4594312508259812
23,2020-05,2.601573964224566,3.862357061633572,1.6780229530284305,1.8600529350095587
24,2020-06,2.910249264194191,3.575384464881188,1.8758135534771276,1.9683978212591293
25,2020-07,1.8526900792516892,2.205517306727592,1.3519364719163762,2.088355079444057
26,2020-08,1.4611735398444183,2.0742759747761554,0.9854742498178614,1.1792384589928109
27,2020-09,2.175283580958988,2.675188062328619,1.7883142294256895,2.3848745682945616
28,2020-10,1.8194407812478788,2.814883866614239,1.3943258363378468,1.8340374030808064
29,2020-11,1.764496093326399,2.529927516673125,1.483593835203418,1.5047733010309594
30,2020-12,1.2425970871803094,1.8452881157191015,1.0742386971606963,0.9908007834844408
31,2021-01,1.6414306005845893,2.4331140251839325,1.423829064404984,1.6405564304765938
32,2021-02,1.4568897541844208,2.7447755572644956,1.064776750586799,1.9438184256354425
33,2021-03,1.8225166213442676,1.99655542799064,1.3461396102702137,2.1271871738753707
34,2021-04,1.1803101636411923,1.5442931338012658,0.8540603593654031,1.136803958366802
35,2021-05,1.52248456919941,2.3764067843057335,0.9682514544552715,1.3770833302801673
36,2021-06,1.367052273012854,1.7605623441198401,0.9721102806609572,0.839982381039079
37,2021-07,1.6184337707410552,1.612757852732549,0.9306214781553803,1.171315771621162
38,2021-08,1.326067126396286,2.33378382694898,0.9748657138638227,0.9659819771656839
39,2021-09,1.3648763841598706,2.2683803441832135,1.202059308573708,1.245138336127791
40,2021-10,1.3450922894300037,1.837080461519189,1.2775225024122534,1.3030528222900695
41,2021-11,1.1947152420142688,3.0648059369111476,1.054810894687168,1.6609636320152856
42,2021-12,1.5690044402358703,2.8772891172574737,1.1667909918148807,1.905615109950884
43,2022-01,2.2875606903312944,3.5779781305741762,1.6985662466460643,2.9085638881090157
44,2022-02,1.9046958590366587,3.827957324279726,1.5733308462611026,2.9280284424786505
45,2022-03,1.9572557764175533,2.9518176153673408,1.520156091614186,2.547999834615827
46,2022-04,1.9117324081515517,2.756669337741566,1.8104416906876568,2.7647644623704783
47,2022-05,2.355899071053178,4.232143578288837,1.9724404486531648,3.8219405806161992
48,2022-06,2.100903586206865,2.99495651231138,2.0718827478826287,2.8564848536468292
49,2022-07,1.8128575459374887,2.571612236277257,1.6783189431051189,2.5744653604309744
50,2022-08,1.3493501175047817,2.084756967782434,1.2352342751741587,1.9804771618284787
51,2022-09,2.140714686815403,2.6160755436201772,1.9199551424689385,2.53664521459423
52,2022-10,2.3216163351890295,3.096827012710365,2.0019306736844626,2.860067762296625
53,2022-11,1.5895719548564298,2.4557384274810126,1.5762700199904867,2.4574891840023896
54,2022-12,1.4908541595065112,1.8757201425533812,1.3290306420334428,1.9381622467513588
55,2023-01,1.4487290807143605,2.152712860298639,1.2309418909493783,2.1759556116589645
56,2023-02,1.3788948206300309,2.7272189052089306,1.218927514185249,2.0457461964671593
57,2023-03,2.172458378725568,2.362148784330983,1.3949598855540388,1.9645594314425578
58,2023-04,1.338766177784808,1.9761018253873721,1.1025688943318948,1.6136689523421681
59,2023-05,1.5098817923402452,2.5674638979974884,1.0636266449795653,1.3901577254062412
